Word,Value
Snedronningen,3.5
Ekstrem/-e,3.5
Gensyn/-et,3.5
Juleaften,3.5
Kultur/-en,3.5
Time/-r,3.5
Tilbageblik,4.0
Integration,4.0
Sønderjylland/-s,4.0
Vinder,4.0
Miste/-t,4.0
Klode/-n,4.0
Astronaut,4.0
Miljø/-et,4.0
Klimakrise/-n,4.0
Krisetid/-er,4.0
Medfølelse,4.0
Optimisme/-n,4.0
På flugt,4.0
Stunder,4.0
Vejr/-et,4.0
Respekt,4.0
Corona/-en,4.0
Demokrati/-et,4.0
Palæstina,4.5
Fodbold,5.0
Paris,5.0
Student/-er,5.0
Ferie/-r,5.0
Rumstation/-en,5.0
Frivillige,5.0
Amalienborg,5.0
Erhvervslivet,5.0
Forskelligheder,5.0
Gæstfrihed,5.0
Hospital/-er,5.0
Institution/-er,5.0
Julehjælp,5.0
Kongehuset,5.0
Konsekvenser,5.0
Nærvær,5.0
Rigsfællesskab/-et,5.0
Sammenhold,5.0
Skole/-r,5.0
Smitte/-n,5.0
Sociale medier,5.0
Sygeplejersker/-ne,5.0
Tillid/-en,5.0
Myndig,5.0
Rumvandring,5.0
Voksnes rækker,5.0
Sverige,5.0
Gaza,5.0
Mellemøsten,5.0
Jordskælv,5.0
Læger,6.0
Vaccine/-n,6.0
Rådhusklokkerne,6.0
Tyskland,6.0
Kunstig intelligens,6.0
Håndbold,6.0
Dannebrog,6.0
Gidsler,6.0
Idræt,6.0
8 milliarder,6.0
Afsavn,6.0
Afstand,6.0
Bevægende,6.0
Bæredygtighed,6.0
England,6.0
Fattigdom,6.0
Festlighed/-er,6.0
Grøn/-ne omstilling,6.0
Hygge/-r,6.0
Landbrug/-et,6.0
Nytårsfest/-en,6.0
Plejehjem/-mene,6.0
Positiv/-e,6.0
Samfundssind,6.0
Skelsættende,6.0
Landshold/-et,6.0
Komtesse,6.0
Mistrivsel,6.0
Global/-e opvarmning,6.0
Kold tid,6.0
Rygoperation,6.0
Energikrise/-n,8.0
Myndighederne,8.0
Flag/-et,8.0
Ytringsfrihed/-en,8.0
Tour de France,8.0
Folkefest,8.0
Varmeregning/-en,8.0
Afkald,8.0
Erhverv,8.0
Mangfoldighed,8.0
Nabo/-er,8.0
Nytårsforsæt,8.0
Penge/-ne,8.0
Succes,8.0
Teknologi/-en,8.0
Tolerance,8.0
Regning/-en,8.0
Sladder,10.0
Dimittere/-r,10.0
Atmosfæren,10.0
Matador,10.0
Katastrofe/-r,10.0
Kvindelandsholdet,10.0
EM i fodbold,10.0
Handicap,10.0
Helbred/-et,10.0
Herrelandsholdet,10.0
Hjemløse,10.0
Menneskerettigheder,10.0
Minut/-ter,10.0
Mobning/mobberi,10.0
Online,10.0
Privatliv/-et,10.0
Rekord,10.0
Uanset hvad,10.0
Verdenssamfund/-et,10.0
Vækst/-en,10.0
Danskhed/-en,10.0
Forestilling/-en,10.0
Spanien,10.0
Beskytte/-r,10.0
Landmænd/-ene,12.0
Erhvervsdrivende,12.0
Ligestilling/-en,12.0
Håndboldlandsholdet,12.0
Elregning/-en,12.0
Gasregning/-en,12.0
Kyiv,12.0
Sportsudøvere,12.0
Alderdom/-men,12.0
Behandling/-en,12.0
Beklager,12.0
Eventyr/-et,12.0
Fodboldlandsholdet,12.0
Identitet,12.0
Island,12.0
Krænke/-t,12.0
Ligheder,12.0
Livgarden,12.0
Mærkeår,12.0
Renter/-ne,12.0
Taber,12.0
Tørke,12.0
Uafhængighed,12.0
Vindmølle/-r,12.0
Folkeskolen,15.0
Hjemmearbejde,15.0
Facebook,15.0
Verdensmesterskaber/-ne,15.0
Skolelærer/-e,15.0
Abdicere/-r,15.0
EU,15.0
Folketinget,15.0
Forurening/-en,15.0
Guld,15.0
Juletræ/-et,15.0
Kram,15.0
Negativ/-e,15.0
Norge,15.0
Populær/-e,15.0
Skovbrande,15.0
Skyderi/-er,15.0
Statsministeren,15.0
Kong Konstantin,15.0
Gas,18.0
Befolkningstal/-let,18.0
Finanskrise/-n,18.0
Globalisering,18.0
Kreativitet,18.0
Krone,18.0
Pension,18.0
Teenager/-e,18.0
Insulin,20.0
Fyrværkeri,20.0
Luksus,20.0
Jonas Vingegaard,20.0
Begavet,20.0
Nettet,20.0
Nordsøen,20.0
Andreas Mogensen,20.0
Lise Nørgaard,20.0
Udkantsdanmark,20.0
Varme hænder,22.0
Blomster,22.0
Asyl,22.0
Lønstigning,22.0
Swipe/-r,22.0
Smartphone/-s,22.0
Økologi/-sk,22.0
Rigshospitalet,25.0
Zelensky,25.0
Søens folk,25.0
Verdensmålene,25.0
Vindmøllepark/-er,25.0
Fjernvarme,25.0
AI,25.0
Coronavariant/-er,25.0
Facetime,25.0
Helt sikker,25.0
Likes,25.0
ChatGPT,25.0
TikTok,25.0
Store Bededag,25.0
Nytårskur,30.0
Julekalender,30.0
Drone/-r,30.0
Instagram,30.0
Mette Frederiksen,30.0
Storebæltsbroen,40.0
MeToo,40.0
Dus,40.0
Folkemøde/-t,40.0
Slankekur/-e,40.0
Vi er danskerne,40.0
Youtuber/-e,40.0
Ipad,40.0
Regnbueflag,50.0
Floor,50.0
Mink,50.0
Barbie,50.0
En del af noget større,50.0
Woke,50.0
Robinson,75.0
Den amerikanske præsident,75.0
Dumsmarte,75.0
Det plejede far at gøre,75.0
Novo Nordisk,75.0
Skattelettelser,75.0
Wegovy,75.0
Joe Biden,100.0
Ejendomsvurdering/-er,100.0
EM er dansk,100.0
Elefantordenen,100.0
UFO/-er,150.0
Lev med det,150.0
"Vi skal ikke hjem, vi skal videre",150.0
Irma,150.0
Caroline Wozniacki,200.0
Holger Rune,200.0
Viktor Axelsen,200.0
Donald Trump,250.0
Kevin Magnussen,250.0
Lars Løkke,250.0
Rasmus Højlund,250.0
PRIME,250.0
Touren er dansk,250.0
VAR ud af fodbold,250.0
